Data Onda Rt_com_atraso Rt_sem_atraso
29/11 1 1.13791084973685 1.13647355277599
30/11 1 1.10565641175979 1.11839017339742
01/12 1 1.08470434363423 1.1036170334007
02/12 1 1.09933089171131 1.09170634584086
03/12 3 1.06689094929345 1.08247456797123
04/12 3 1.02787751655386 1.0759664120123
05/12 3 1.00796328201052 1.07208709245973
07/12 3 1.01450776426458 1.0703062291204
08/12 3 1.05083458800623 1.06957287310735
09/12 3 1.07714873449362 1.06880832052657
10/12 3 1.07711145735836 1.06751483126931
11/12 3 1.0423600376908 1.06554703347667
12/12 3 1.02098175646804 1.06301459821916
14/12 3 1.02545387180287 1.06001339433688
15/12 3 1.06811029855342 1.05585887811134
16/12 3 1.1114747030559 1.04961370880823
17/12 2 1.15698151191956 1.04131590653401
18/12 2 1.14916232680607 1.03119824045532
19/12 2 1.19986904244141 1.01974132691715
20/12 2 1.2186521066693 1.00704596793917
21/12 2 1.16691484261643 0.993528911024733
22/12 2 1.08109025226793 0.980328221956198
23/12 2 0.957499129868598 0.96972098453829
24/12 3 0.852840261487369 0.963104210036358
25/12 3 0.803979839491067 0.960629818990703
26/12 3 0.8113819537265 0.961966044449649
27/12 3 0.876262563939281 0.966056552074802
28/12 3 0.946646838669584 0.971138929413177
